ticker,lstm_s,mc_mean,mc_std,sent_score,regime,regime_conf,legacy_regime,risk_score_corr,div_status,topo_modifier,topo_chaos,topo_signal,causal_modifier,causal_score,combined_mod,adver_passed,adver_delta,adver_penalty,top_driver,ig_score,raw_conf,gated_conf,gdi,gdi_penalty,gdi_tension,conflict_ruling,arb_conf,asc_score,asc_penalty,asc_quadrant,bcs,aesl_zone,aesl_mult,alloc_pct,display_alloc_pct,kelly_frac,num_shares,decision,actual_ret,result_cat,result_icon,test_date,outcome_date,window
AAPL,0.0,0.0,0.0,0.02,Sideways,0.92,N/A,0.325,OK,0.9121,0.6995,SIDEWAYS,0.9955,0.6848,0.9538,True,-0.5785,1.0,RSI,-0.001837,0.2178,0.2077,0.291,0.95,MILD,NO_CONFLICT,0.1558,0.9231,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.442,MODERATE,0.819,0.0,2.0,-0.2663,0,SELL,-1.992,noise_c,OK!,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
MSFT,0.0,0.0,0.0,0.08,Bear,0.73,N/A,0.4666,MINOR,0.982,0.5899,CHAOTIC,0.9655,0.6515,0.9738,True,-0.0117,1.0,RSI,-0.001283,0.3018,0.6329,0.249,0.95,MILD,MILD_ADJUST,0.4589,0.9231,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5276,MODERATE,0.7245,2.91,2.91,0.0982,0,BUY,1.615,noise_c,OK!,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
NVDA,0.0106,0.0106,0.0106,0.1,Bear,0.89,N/A,0.5143,MINOR,0.9848,0.576,NEUTRAL,0.9655,0.6515,0.9751,True,-0.6987,1.0,sma50_dist,-0.003263,0.3093,0.6338,0.2635,0.95,MILD,MILD_ADJUST,0.4482,0.9214,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.4914,MODERATE,0.69,2.01,2.01,0.0803,0,BUY,7.201,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
TSLA,0.0001,0.0001,0.0001,-0.14,Bear,0.73,N/A,0.65,MINOR,1.0098,0.4511,CHAOTIC,0.9355,0.6182,0.9727,True,-0.3009,1.0,sma10_dist,-0.004239,0.1354,0.1423,0.2205,0.95,MILD,NO_CONFLICT,0.0934,0.9214,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.1059,MILD,0.828,0.0,2.0,-0.511,0,SELL,-3.524,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
META,0.0037,0.0037,0.0037,0.12,Bear,0.68,N/A,0.72,CRITICAL,0.9901,0.5493,CHAOTIC,0.9355,0.6182,0.9628,True,-0.3767,1.0,sma10_dist,-0.001837,0.3144,0.5862,0.3048,0.95,MILD,SYSTEMIC_VETO,0.1319,0.936,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.555,MODERATE,0.78,0.0,2.0,-0.4469,0,SELL,1.149,noise_w,BAD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
GOOGL,0.0001,0.0001,0.0001,0.08,Bear,0.87,N/A,0.5921,MINOR,0.9887,0.5566,CHAOTIC,0.9655,0.6515,0.9771,True,-0.1764,1.0,sma10_dist,-0.001826,0.3018,0.6351,0.2607,0.95,MILD,MILD_ADJUST,0.4306,0.9284,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.4989,MODERATE,0.69,1.2,1.2,0.051,0,BUY,3.829,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
AMZN,0.0,0.0,0.0,0.14,Bear,0.73,N/A,0.5549,MINOR,1.008,0.4602,CHAOTIC,0.9655,0.6515,0.9868,False,-0.0018,0.72,sma50_dist,-0.000646,0.32,0.4902,0.2743,0.95,MILD,HOLD,0.306,0.9284,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5576,MODERATE,0.69,0.0,0.0,-0.1567,0,HOLD,5.172,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
AMD,0.0,0.0,0.0,0.22,Bear,0.89,N/A,0.65,MINOR,1.0079,0.4606,CHAOTIC,0.9355,0.6182,0.9717,True,-0.0385,1.0,sma10_dist,0.001973,0.3442,0.7871,0.3375,0.95,MILD,HOLD,0.306,0.9284,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5613,MODERATE,0.69,0.0,0.0,-0.1567,0,HOLD,21.706,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
INTC,0.0,0.0,0.0,0.25,Bear,0.89,N/A,0.65,MINOR,1.01,0.4502,CHAOTIC,0.9655,0.6515,0.9878,True,-0.134,1.0,sma10_dist,-0.002508,0.3533,0.8445,0.3927,0.85,MODERATE,HOLD,0.306,0.9284,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5729,MODERATE,0.5865,0.0,0.0,-0.1567,0,HOLD,29.361,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
ORCL,0.0,0.0,0.0,0.04,Bear,0.68,N/A,0.9006,CRITICAL,0.9175,0.6713,SIDEWAYS,0.9655,0.6515,0.9415,True,-0.1068,1.0,sma50_dist,-0.001137,0.1606,0.5028,0.3023,0.95,MILD,SYSTEMIC_VETO,0.1131,0.9284,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.244,MILD,0.7038,0.0,2.0,-0.4782,0,SELL,-2.602,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
SPY,0.1562,0.1562,0.1562,0.09,Sideways,0.94,N/A,0.3,OK,0.9877,0.5614,CHAOTIC,0.95,0.5,0.9688,True,-0.8365,1.0,RSI,-0.001641,0.3867,0.6298,0.223,0.95,MILD,MILD_ADJUST,0.4015,0.9207,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.533,MODERATE,0.6375,3.1,3.1,0.1022,0,BUY,0.91,noise_c,OK!,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
QQQ,0.0,0.0,0.0,0.13,Bear,0.86,N/A,0.3,OK,0.9917,0.5415,CHAOTIC,0.95,0.5,0.9708,True,-0.4891,1.0,RSI,-0.001267,0.3169,0.6553,0.264,0.95,MILD,HOLD,0.306,0.8933,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5264,MODERATE,0.5865,0.0,0.0,-0.1567,0,HOLD,2.696,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
DIA,0.0,0.0,0.0,0.04,Sideways,0.93,N/A,0.3,OK,0.9172,0.6725,SIDEWAYS,0.95,0.5,0.9336,True,-0.85,1.0,RSI,-0.002282,0.2206,0.5135,0.297,0.95,MILD,NO_CONFLICT,0.3851,0.8933,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.4682,MODERATE,0.5865,2.16,2.16,0.0777,0,HOLD,-0.506,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
IWM,0.0001,0.0001,0.0001,0.03,Bear,0.94,N/A,0.3,OK,0.9238,0.6376,SIDEWAYS,0.95,0.5,0.9369,True,-0.1818,1.0,RSI,-0.000511,0.1593,0.4919,0.234,0.95,MILD,NO_CONFLICT,0.3689,0.8933,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.2557,MILD,0.765,0.0,0.0,-0.0518,0,HOLD,-0.076,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
JPM,0.0,0.0,0.0,-0.05,Bear,0.79,N/A,0.2857,OK,0.909,0.7159,SIDEWAYS,0.9655,0.6515,0.9373,True,-0.9041,1.0,log_return,-0.001673,0.148,0.1498,0.21,0.95,MILD,NO_CONFLICT,0.1123,0.8933,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.2152,MILD,0.765,0.0,2.0,-0.4794,0,SELL,-1.691,noise_c,OK!,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
BAC,0.0,0.0,0.0,-0.05,Sideways,0.76,N/A,0.277,OK,0.9206,0.6545,SIDEWAYS,0.9655,0.6515,0.943,True,-0.888,1.0,sma10_dist,-0.00167,0.208,0.1962,0.28,0.95,MILD,NO_CONFLICT,0.1472,0.8933,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5025,MODERATE,0.6375,0.0,2.0,-0.2793,0,SELL,-2.447,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
GS,0.6649,0.6649,0.3351,-0.02,Bear,0.89,N/A,0.5115,MINOR,0.9248,0.6326,SIDEWAYS,0.9655,0.6515,0.9451,True,-0.3329,1.0,sma20_dist,0.001095,0.8733,0.7841,0.4257,0.85,MODERATE,MILD_ADJUST,0.472,0.8952,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.6088,MODERATE,0.6375,2.8,2.8,0.12,0,HOLD,-0.417,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
V,0.9999,0.9999,0.0001,-0.03,Sideways,0.98,N/A,0.3114,OK,0.925,0.6316,SIDEWAYS,0.9955,0.6848,0.9603,True,0.088,1.0,sma10_dist,0.00193,0.9861,0.8996,0.294,0.95,MILD,NO_CONFLICT,0.6747,0.8947,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.28,MILD,0.7038,14.08,14.08,0.512,4,BUY,-1.367,noise_w,BAD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
GLD,0.0003,0.0003,0.0003,-0.09,Bear,0.68,N/A,0.3,OK,0.9135,0.6922,SIDEWAYS,0.95,0.5,0.9317,True,-0.5589,1.0,vol_change,0.002876,0.1425,0.2466,0.1985,1.0,HARMONY,NO_CONFLICT,0.185,0.8923,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.1144,HARMONY,0.85,0.0,2.0,-0.3584,0,SELL,-2.76,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
TLT,0.0046,0.0046,0.0046,-0.02,Bull,0.98,N/A,0.3,OK,0.898,0.7736,SIDEWAYS,0.95,0.5,0.924,True,-0.9789,1.0,RSI,-0.001364,0.259,0.2393,0.6696,0.5,CRITICAL,NO_CONFLICT,0.1795,0.9049,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.7303,HIGH,0.5008,0.0,2.0,-0.1487,0,SELL,-0.885,noise_c,OK!,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
SLV,0.9998,0.9998,0.0002,-0.1,Sideways,0.86,N/A,0.3,OK,0.9107,0.7071,SIDEWAYS,0.95,0.5,0.9304,True,0.1834,1.0,log_return,0.006332,0.9755,0.9075,0.3632,0.85,MODERATE,NO_CONFLICT,0.6806,0.9405,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.4674,MODERATE,0.5865,6.49,6.49,0.5209,8,BUY,-5.295,wrong,BAD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
XOM,1.0,1.0,0.0,0.03,Sideways,0.81,N/A,0.35,OK,0.9239,0.6372,SIDEWAYS,0.9655,0.6515,0.9447,False,0.0021,0.72,sma10_dist,0.001889,0.9916,0.6407,0.2911,0.95,MILD,NO_CONFLICT,0.4805,0.9405,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.2755,MILD,0.765,5.95,5.95,0.2208,4,HOLD,0.345,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
CVX,0.0455,0.0455,0.0455,0.01,Bear,0.68,N/A,0.35,OK,0.9849,0.5754,CHAOTIC,0.9655,0.6515,0.9752,True,-0.8015,1.0,vol_change,0.004357,0.1739,0.2714,0.2348,0.95,MILD,NO_CONFLICT,0.1764,0.9509,0.65,EXTREME SYCOPHANCY HOLD ensemble collapsed (−35%),0.1682,MILD,0.765,0.0,2.0,-0.3727,0,SELL,0.835,noise_w,BAD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
WMT,0.0008,0.0008,0.0008,0.04,Bear,0.94,N/A,0.3159,OK,0.9259,0.6269,SIDEWAYS,0.9655,0.6515,0.9457,True,-0.2541,1.0,log_return,-0.00197,0.1609,0.5201,0.2371,0.95,MILD,NO_CONFLICT,0.3901,0.9467,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.2444,MILD,0.7956,0.0,0.0,-0.0165,0,HOLD,-0.258,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
PG,1.0,1.0,0.0,0.1,Sideways,0.98,N/A,0.3838,OK,1.0101,0.4496,NEUTRAL,0.9,0.3,0.955,False,0.0033,0.72,sma10_dist,-0.001676,0.9952,0.6843,0.275,0.95,MILD,NO_CONFLICT,0.4448,0.9503,0.65,EXTREME SYCOPHANCY HOLD ensemble collapsed (−35%),0.2145,MILD,0.765,6.08,6.08,0.1672,4,BUY,3.479,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
JNJ,1.0,1.0,0.0,0.01,Sideways,0.98,N/A,0.4594,MINOR,0.9294,0.6086,SIDEWAYS,1.0253,0.7178,0.9774,True,0.0281,1.0,RSI,0.00093,0.9901,0.9193,0.284,0.95,MILD,MILD_ADJUST,0.5798,0.9503,0.65,EXTREME SYCOPHANCY HOLD ensemble collapsed (−35%),0.2777,MILD,0.765,13.43,13.43,0.3697,5,BUY,-2.319,wrong,BAD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
NFLX,0.9309,0.9309,0.0691,-0.15,Sideways,0.835,N/A,0.3944,OK,0.9876,0.5622,CHAOTIC,0.9655,0.6515,0.9766,True,0.2307,1.0,sma20_dist,-0.000788,0.9514,0.542,0.3198,0.95,MILD,HOLD,0.36,0.909,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5487,MODERATE,0.6375,0.66,0.66,0.04,0,HOLD,-3.649,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
DIS,0.9083,0.9083,0.0917,-0.08,Sideways,0.795,N/A,0.4796,MINOR,0.9912,0.5441,NEUTRAL,0.9655,0.6515,0.9784,True,-0.0598,1.0,sma10_dist,0.002153,0.9676,0.9466,0.2567,0.95,MILD,MILD_ADJUST,0.6248,0.9042,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5352,MODERATE,0.5865,11.73,11.73,0.4372,11,BUY,-3.716,wrong,BAD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
CRM,0.0248,0.0248,0.0248,-0.04,Bear,0.98,N/A,0.3866,OK,0.9917,0.5416,CHAOTIC,0.9655,0.6515,0.9786,True,-0.2139,1.0,sma20_dist,0.001834,0.159,0.168,0.2412,0.95,MILD,NO_CONFLICT,0.126,0.8826,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.1756,MILD,0.7038,0.0,2.0,-0.4567,0,SELL,-3.269,correct,OK,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
PLTR,0.0,0.0,0.0,0.06,Bear,0.98,N/A,0.5617,MINOR,0.9125,0.6972,SIDEWAYS,1.0014,0.7713,0.9569,True,-0.0252,1.0,sma20_dist,0.00175,0.2957,0.5933,0.3063,0.95,MILD,MILD_ADJUST,0.409,0.8829,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.179,MILD,0.7956,0.0,0.0,0.015,0,HOLD,-1.912,hold,HOLD,2026-04-20,2026-04-27,Win20: Bull-TechEarningsRally (Apr20->27-2026)
AAPL,0.0126,0.0126,0.0126,-0.1,Sideways,0.86,N/A,0.5621,MINOR,0.9165,0.6761,SIDEWAYS,1.0254,0.7182,0.9709,True,-0.9648,1.0,vol_change,0.001447,0.2058,0.1999,0.2678,0.95,MILD,NO_CONFLICT,0.1483,0.8982,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.3303,MILD,0.7956,0.0,2.0,-0.2776,0,SELL,-0.637,noise_c,OK!,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
MSFT,0.9954,0.9954,0.0046,0.12,Sideways,0.98,N/A,0.5561,MINOR,1.0098,0.4508,CHAOTIC,0.9655,0.6515,0.9877,True,0.041,1.0,sma20_dist,0.00217,0.9957,0.9834,0.2704,0.95,MILD,NO_CONFLICT,0.7313,0.9147,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.2146,MILD,0.9,18.0,18.0,0.597,4,BUY,5.372,correct,OK,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
NVDA,0.0,0.0,0.0,0.15,Bear,0.84,N/A,0.6403,MINOR,0.9902,0.5488,NEUTRAL,0.9355,0.6182,0.9628,True,-0.4509,1.0,vol_change,-0.002319,0.323,0.6788,0.2741,0.95,MILD,HOLD,0.306,0.9031,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5397,MODERATE,0.75,0.0,0.0,-0.1567,0,HOLD,6.851,hold,HOLD,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
TSLA,0.0619,0.0619,0.0619,0.12,Bear,0.98,N/A,0.535,MINOR,1.0098,0.4509,CHAOTIC,0.9655,0.6515,0.9877,True,-0.3836,1.0,sma10_dist,0.003064,0.3226,0.6518,0.2907,0.95,MILD,HOLD,0.306,0.904,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.3832,MODERATE,0.69,0.0,0.0,-0.1567,0,HOLD,5.376,hold,HOLD,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
META,0.0238,0.0238,0.0238,0.15,Bear,0.98,N/A,0.5194,MINOR,0.9908,0.546,CHAOTIC,0.9655,0.6515,0.9782,True,-0.7883,1.0,sma10_dist,0.003315,0.3263,0.6896,0.3178,0.95,MILD,HOLD,0.306,0.8821,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.486,MODERATE,0.75,0.0,0.0,-0.1567,0,HOLD,5.427,hold,HOLD,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
GOOGL,0.2492,0.2492,0.2492,0.12,Bear,0.78,N/A,0.2797,OK,0.9894,0.5529,CHAOTIC,0.9655,0.6515,0.9774,True,-0.69,1.0,log_return,-0.002585,0.3488,0.3409,0.3071,0.95,MILD,ALIGN_BULL,0.42,0.9017,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.4782,MODERATE,0.75,0.89,0.89,0.0333,0,BUY,4.528,correct,OK,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
AMZN,0.0011,0.0011,0.0011,0.15,Bear,0.68,N/A,0.3886,OK,0.9861,0.5697,CHAOTIC,0.9655,0.6515,0.9758,True,-0.0405,1.0,sma10_dist,0.000775,0.3231,0.6239,0.2803,0.95,MILD,HOLD,0.306,0.8851,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5728,MODERATE,0.75,0.0,0.0,-0.1567,0,HOLD,6.578,hold,HOLD,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
AMD,0.0,0.0,0.0,0.15,Bear,0.89,N/A,1.0,CRITICAL,0.9208,0.6536,SIDEWAYS,0.9355,0.6182,0.9282,True,-0.0581,1.0,sma10_dist,-0.002639,0.323,0.6543,0.311,0.95,MILD,SYSTEMIC_VETO,0.1472,0.8958,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5307,MODERATE,0.69,0.0,2.0,-0.4213,0,SELL,7.788,wrong,BAD,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
INTC,0.0,0.0,0.0,0.1,Bear,0.89,N/A,0.502,MINOR,1.0073,0.4637,CHAOTIC,0.9355,0.6182,0.9714,True,-0.0198,1.0,sma20_dist,0.00176,0.3078,0.6314,0.3505,0.85,MODERATE,MILD_ADJUST,0.4494,0.8958,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.5059,MODERATE,0.69,1.21,1.21,0.0823,1,BUY,3.386,correct,OK,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
ORCL,0.9997,0.9997,0.0003,0.15,Bear,0.98,N/A,0.9399,CRITICAL,0.9917,0.5414,CHAOTIC,0.9655,0.6515,0.9786,True,0.4577,1.0,sma10_dist,0.001064,0.9965,0.9752,0.6995,0.5,CRITICAL,MILD_ADJUST,0.5071,0.9551,0.65,EXTREME SYCOPHANCY HOLD ensemble collapsed (−35%),0.6287,MODERATE,0.75,1.67,1.67,0.1785,1,HOLD,18.236,hold,HOLD,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
SPY,0.0003,0.0003,0.0003,0.12,Sideways,0.93,N/A,0.3,OK,1.0079,0.4605,CHAOTIC,0.95,0.5,0.9789,True,-0.632,1.0,vol_change,-0.001249,0.3739,0.6461,0.3209,0.95,MILD,HOLD,0.4119,0.9499,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.6465,MODERATE,0.69,3.86,3.86,0.1179,0,BUY,2.14,correct,OK,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
QQQ,0.0,0.0,0.0,0.15,Sideways,0.74,N/A,0.3,OK,0.9284,0.6135,SIDEWAYS,0.95,0.5,0.9392,True,-0.0816,1.0,vol_change,-0.001178,0.383,0.6621,0.33,0.95,MILD,HOLD,0.4221,0.9499,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.6858,HIGH,0.506,3.2,3.2,0.1331,0,BUY,3.017,correct,OK,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
DIA,0.0113,0.0113,0.0113,0.1,Sideways,0.93,N/A,0.3,OK,0.9913,0.5433,CHAOTIC,0.95,0.5,0.9707,True,-0.8958,1.0,vol_change,-0.002371,0.3694,0.6309,0.3085,0.95,MILD,NO_CONFLICT,0.4101,0.9515,0.65,EXTREME SYCOPHANCY HOLD ensemble collapsed (−35%),0.6341,MODERATE,0.69,3.77,3.77,0.1151,0,BUY,0.745,noise_c,OK!,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
IWM,0.0179,0.0179,0.0179,0.12,Bear,0.93,N/A,0.3,OK,0.9819,0.5903,CHAOTIC,0.95,0.5,0.9659,True,-0.3071,1.0,log_return,0.001433,0.3164,0.6375,0.2637,0.95,MILD,HOLD,0.306,0.9173,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.4855,MODERATE,0.69,0.0,0.0,-0.1567,0,HOLD,2.581,hold,HOLD,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
JPM,0.004,0.004,0.004,0.1,Sideways,0.68,N/A,0.3027,OK,0.9161,0.6786,SIDEWAYS,0.9655,0.6515,0.9408,True,-0.2168,1.0,sma50_dist,-0.002547,0.3684,0.5664,0.3127,0.95,MILD,NO_CONFLICT,0.4248,0.8584,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.686,HIGH,0.4675,3.05,3.05,0.1372,0,BUY,0.255,noise_c,OK!,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
BAC,0.0,0.0,0.0,0.1,Bear,0.93,N/A,0.2784,OK,0.923,0.6423,SIDEWAYS,0.9655,0.6515,0.9443,True,-0.2481,1.0,RSI,-0.002286,0.3078,0.6138,0.255,0.95,MILD,NO_CONFLICT,0.4604,0.8609,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.4991,MODERATE,0.69,3.28,3.28,0.1006,6,BUY,1.214,noise_c,OK!,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
GS,0.0601,0.0601,0.0601,0.1,Bear,0.78,N/A,0.5449,MINOR,0.9825,0.5876,CHAOTIC,0.9655,0.6515,0.974,True,-0.7441,1.0,sma50_dist,0.003025,0.3162,0.6331,0.2674,0.95,MILD,MILD_ADJUST,0.5179,0.8499,0.9,MODERATE SYCOPHANCY HOLD low LSTM dominance (−10%),0.3945,MILD,0.9,6.71,6.71,0.1964,0,BUY,0.654,noise_c,OK!,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
V,0.8864,0.8864,0.1136,0.1,Sideways,0.86,N/A,0.3144,OK,1.0084,0.4581,NEUTRAL,0.9955,0.6848,1.0019,True,0.0573,1.0,vol_change,0.002428,0.9916,0.9936,0.2102,0.95,MILD,MILD_ADJUST,0.6503,0.8682,0.75,STRONG SYCOPHANCY HOLD low dominance (−25%),0.2442,MILD,0.9,18.0,18.0,0.4755,5,BUY,0.999,noise_c,OK!,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
GLD,0.0,0.0,0.0,0.09,Bear,0.73,N/A,0.3,OK,0.9113,0.7037,SIDEWAYS,0.95,0.5,0.9306,True,-0.8343,1.0,sma10_dist,-0.002553,0.3048,0.6049,0.261,0.95,MILD,NO_CONFLICT,0.5444,0.8314,0.9,MODERATE SYCOPHANCY HOLD low LSTM dominance (−10%),0.5328,MODERATE,0.78,6.62,6.62,0.2407,1,BUY,1.64,noise_c,OK!,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
TLT,1.0,1.0,0.0,0.05,Sideways,0.73,N/A,0.3,OK,0.9064,0.7295,SIDEWAYS,0.95,0.5,0.9282,True,0.0121,1.0,log_return,0.001679,0.9928,0.9216,0.28,0.95,MILD,NO_CONFLICT,0.8294,0.8384,0.9,MODERATE SYCOPHANCY HOLD low LSTM dominance (−10%),0.2692,MILD,0.9,18.0,18.0,0.7442,20,BUY,0.588,noise_c,OK!,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
SLV,0.4807,0.4807,0.4807,0.1,Bear,0.68,N/A,0.3,OK,0.9115,0.7024,SIDEWAYS,0.95,0.5,0.9307,True,-0.152,1.0,sma10_dist,0.004588,0.6521,0.5616,0.3814,0.85,MODERATE,MILD_ADJUST,0.4297,0.836,0.9,MODERATE SYCOPHANCY HOLD low LSTM dominance (−10%),0.4745,MODERATE,0.78,0.82,0.82,0.0494,1,BUY,5.337,correct,OK,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
XOM,0.9355,0.9355,0.0645,-0.15,Sideways,0.84,N/A,0.35,OK,1.0101,0.4494,CHAOTIC,0.9955,0.6848,1.0028,True,0.0501,1.0,vol_change,-0.003356,0.9524,0.5566,0.2974,0.95,MILD,HOLD,0.432,0.8134,0.9,MODERATE SYCOPHANCY HOLD low LSTM dominance (−10%),0.5485,MODERATE,0.75,4.17,4.17,0.148,2,HOLD,-3.741,hold,HOLD,2026-04-09,2026-04-14,Win19: Pre-Easter Defensive Lull (Apr09->14-2026)
